Division,Day,Start Time,End Time,Subject,Professor,Location,Batch
A,MON,11:40 AM,12:35 PM,Physics,HK,A107,A1
A,MON,11:40 AM,12:35 PM,Elec. Sci.,VVS,D106,A2
A,MON,11:40 AM,12:35 PM,Gen. Eng,RM,B201B,A3
A,MON,02:25 PM,03:20 PM,Elec. Sci.,CHR,W206,
A,MON,03:20 PM,04:15 PM,Maths I,EP,W206,
A,MON,04:30 PM,05:25 PM,Gen. Eng,SA,W206,
A,MON,05:25 PM,06:20 PM,Comp Prog,VA,W206,
A,TUE,11:40 AM,12:35 PM,Physics,KS,W205,
A,TUE,02:25 PM,03:20 PM,Comp Prog,VA,W205,
A,TUE,03:20 PM,04:15 PM,Maths I,AS,W203,A1
A,TUE,03:20 PM,04:15 PM,Maths I,PT,W205,A2
A,TUE,03:20 PM,04:15 PM,Env. Sci.,CF1,W207,A3
A,TUE,04:30 PM,05:25 PM,Yoga,JPVF,E-block 1st floor,AT1
A,TUE,04:30 PM,05:25 PM,Yoga,ASVF,E-block 1st floor,AT2
A,WED,11:40 AM,12:35 PM,Maths I,EP,W206,
A,WED,12:35 PM,01:30 PM,Env. Sci.,IK,W206,
A,WED,03:20 PM,04:15 PM,Physics,KS,W101,
A,WED,04:30 PM,05:25 PM,Disaster mang,CF1,W302,
A,THU,11:40 AM,12:35 PM,Elec. Sci.,CHR,W206,
A,THU,12:35 PM,01:30 PM,Env. Sci.,IK,W206,
A,THU,02:25 PM,04:15 PM,Gen. Eng,ADS,B201C,A1
A,THU,02:25 PM,04:15 PM,Comp Prog,AN,W5067,A2
A,THU,02:25 PM,04:15 PM,Physics,HV,A107,A3
A,THU,04:30 PM,05:25 PM,Elec. Sci.,SSD,D106,A1
A,THU,04:30 PM,05:25 PM,Comp Prog,VF10,A1041,A2
A,THU,04:30 PM,05:25 PM,Physics,KS,A107,A3
A,FRI,11:40 AM,01:30 PM,Comp Prog,BU,A1041,A1
A,FRI,11:40 AM,01:30 PM,Gen. Eng,RR,B201C,A2
A,FRI,11:40 AM,01:30 PM,Elec. Sci.,SSD,D106,A3
A,FRI,02:25 PM,03:20 PM,Env. Sci.,IK,W207,A1
A,FRI,02:25 PM,03:20 PM,Env. Sci.,NG,W204,A2
A,FRI,02:25 PM,03:20 PM,Maths I,MP,W205,A3
A,FRI,03:20 PM,04:15 PM,Gen. Eng,SA,W205,
