Day,StartTime,EndTime,Subject,Professor,Location,Batch
MON,11:40 AM,12:35 PM,Wrt.Com,SP,W101,
MON,12:35 PM,01:30 PM,Statistics,TD,W101,
MON,02:25 PM,04:15 PM,Comp Prog,TBD,W5011,T1
MON,02:25 PM,04:15 PM,Statistics,GP,W5012,T2
MON,02:25 PM,04:15 PM,ED & Workshop,PJ,WS,T3
MON,04:30 PM,05:25 PM,Maths I,KP,W103,T1
MON,04:30 PM,05:25 PM,Maths I,AS,W105,T2
MON,04:30 PM,05:25 PM,Maths I,HP,W202,T3
MON,05:25 PM,06:20 PM,Cont. India,AM,W103,T1
TUE,11:40 AM,12:35 PM,Comp Prog,TBD,W202,
TUE,12:35 PM,01:30 PM,Wrt.Com,SP,W202,
TUE,02:25 PM,04:15 PM,Chemistry,AC,A110,T1
TUE,02:25 PM,04:15 PM,ED & Workshop,BB,WS,T2
TUE,02:25 PM,04:15 PM,ED & Workshop,ATH,B212B,T3
TUE,04:30 PM,05:25 PM,Maths I,GP,W106,
TUE,05:25 PM,06:20 PM,Cont. India,IM,W106,
WED,11:40 AM,12:35 PM,Chemistry,SGP,W207,
WED,12:35 PM,01:30 PM,Statistics,TD,W207,
WED,02:25 PM,04:15 PM,ED & Workshop,SCB,B212B,T2
WED,02:25 PM,04:15 PM,ED & Workshop,AMG,WS,T1
WED,02:25 PM,04:15 PM,Statistics,EJ,W407A,T3
WED,04:30 PM,05:25 PM,Cont. India,IM,W301,
WED,05:25 PM,06:20 PM,Wrt.Com,SB,W103,T1
WED,05:25 PM,06:20 PM,Wrt.Com,PP,W104,T2
THU,11:40 AM,12:35 PM,ED & Workshop,TNR,D304,
THU,12:35 PM,01:30 PM,Library,TBD,TBD,
THU,02:25 PM,04:15 PM,Chemistry,AD,A110,T2
THU,02:25 PM,04:15 PM,Comp Prog,TBD,B2101B,T3
THU,02:25 PM,04:15 PM,ED & Workshop,HMP,B212A,T1
THU,04:30 PM,05:25 PM,Cont. India,AM,W105,T2
THU,04:30 PM,05:25 PM,Cont. India,IM,W106,T3
THU,05:25 PM,06:20 PM,Chemistry,SGP,W105,
FRI,11:40 AM,01:30 PM,Chemistry,SGP,A110,T3
FRI,11:40 AM,01:30 PM,Comp Prog,TBD,A1043,T2
FRI,11:40 AM,01:30 PM,Statistics,EJ,A1042,T1
FRI,02:25 PM,03:20 PM,Comp Prog,TBD,W101,
FRI,03:20 PM,04:15 PM,Wrt.Com,RR,W105,T3
FRI,04:30 PM,05:25 PM,Maths I,GP,W105,
FRI,05:25 PM,06:20 PM,Library,TBD,TBD,
